"","destination.plate","destination.row","destination.column","media.vol.ul"
"710","20","H","2","240"
"711","20","H","3","240"
"712","20","H","4","240"
"713","20","H","5","240"
"714","20","H","6","240"
"715","20","H","7","240"
"716","20","H","8","240"
"717","20","H","9","240"
"718","20","H","10","240"
"719","20","H","11","240"
"720","20","H","12","240"
"721","21","A","1","240"
"722","21","A","2","240"
"723","21","A","3","240"
"724","21","A","4","240"
"725","21","A","5","240"
"726","21","A","6","240"
"727","21","A","7","240"
"728","21","A","8","240"
"729","21","A","9","240"
"730","21","A","10","240"
"731","21","A","11","240"
"732","21","A","12","240"
"733","21","B","1","240"
"734","21","B","12","240"
"735","21","C","1","240"
"736","21","C","12","240"
"737","21","D","1","240"
"738","21","D","12","240"
"739","21","E","1","240"
"740","21","E","12","240"
"741","21","F","1","240"
"742","21","F","12","240"
"743","21","G","1","240"
"744","21","G","12","240"
"745","21","H","1","240"
"746","21","H","2","240"
"747","21","H","3","240"
"748","21","H","4","240"
"749","21","H","5","240"
"750","21","H","6","240"
"751","21","H","7","240"
"752","21","H","8","240"
"753","21","H","9","240"
"754","21","H","10","240"
"755","21","H","11","240"
"756","21","H","12","240"
"757","22","A","1","240"
"758","22","A","2","240"
"759","22","A","3","240"
"760","22","A","4","240"
"761","22","A","5","240"
"762","22","A","6","240"
"763","22","A","7","240"
"764","22","A","8","240"
"765","22","A","9","240"
"766","22","A","10","240"
"767","22","A","11","240"
"768","22","A","12","240"
"769","22","B","1","240"
"770","22","B","12","240"
"771","22","C","1","240"
"772","22","C","12","240"
"773","22","D","1","240"
"774","22","D","12","240"
"775","22","E","1","240"
"776","22","E","12","240"
"777","22","F","1","240"
"778","22","F","12","240"
"779","22","G","1","240"
"780","22","G","12","240"
"781","22","H","1","240"
"782","22","H","2","240"
"783","22","H","3","240"
"784","22","H","4","240"
"785","22","H","5","240"
"786","22","H","6","240"
"787","22","H","7","240"
"788","22","H","8","240"
"789","22","H","9","240"
"790","22","H","10","240"
"791","22","H","11","240"
"792","22","H","12","240"
"793","23","A","1","240"
"794","23","A","2","240"
"795","23","A","3","240"
"796","23","A","4","240"
"797","23","A","5","240"
"798","23","A","6","240"
"799","23","A","7","240"
"800","23","A","8","240"
"801","23","A","9","240"
"802","23","A","10","240"
