Copper,Nickel,Chloramphenicol,Ampicillin,Metaldehyde,Atrazine,Tebuconazole,Azoxystrobin,Dest.Column,Dest.Row,Dest.Plate
1,1,1,1,0,1,1,0,4,G,3
1,1,1,1,0,1,0,1,4,H,3
1,1,1,1,0,0,1,1,5,A,3
1,1,1,0,1,1,1,0,5,B,3
1,1,1,0,1,1,0,1,5,C,3
1,1,1,0,1,0,1,1,5,D,3
1,1,1,0,0,1,1,1,5,E,3
1,1,0,1,1,1,1,0,5,F,3
1,1,0,1,1,1,0,1,5,G,3
1,1,0,1,1,0,1,1,5,H,3
1,1,0,1,0,1,1,1,6,A,3
1,1,0,0,1,1,1,1,6,B,3
1,0,1,1,1,1,1,0,6,C,3
1,0,1,1,1,1,0,1,6,D,3
1,0,1,1,1,0,1,1,6,E,3
1,0,1,1,0,1,1,1,6,F,3
1,0,1,0,1,1,1,1,6,G,3
1,0,0,1,1,1,1,1,6,H,3
0,1,1,1,1,1,1,0,7,A,3
0,1,1,1,1,1,0,1,7,B,3
0,1,1,1,1,0,1,1,7,C,3
0,1,1,1,0,1,1,1,7,D,3
0,1,1,0,1,1,1,1,7,E,3
0,1,0,1,1,1,1,1,7,F,3
0,0,1,1,1,1,1,1,7,G,3
1,1,1,1,1,1,1,0,7,H,3
1,1,1,1,1,1,0,1,8,A,3
1,1,1,1,1,0,1,1,8,B,3
1,1,1,1,0,1,1,1,8,C,3
1,1,1,0,1,1,1,1,8,D,3
1,1,0,1,1,1,1,1,8,E,3
1,0,1,1,1,1,1,1,8,F,3
0,1,1,1,1,1,1,1,8,G,3
1,1,1,1,1,1,1,1,8,H,3
0,0,0,0,0,0,0,0,9,A,3
0,0,0,0,0,0,0,0,9,B,3
0,0,0,0,0,0,0,0,9,C,3
0,0,0,0,0,0,0,0,9,D,3
0,0,0,0,0,0,0,0,9,E,3
0,0,0,0,0,0,0,0,9,F,3
0,0,0,0,0,0,0,0,9,G,3
0,0,0,0,0,0,0,0,9,H,3
0,0,0,0,0,0,0,0,10,A,3
0,0,0,0,0,0,0,0,10,B,3
0,0,0,0,0,0,0,0,10,C,3
0,0,0,0,0,0,0,0,10,D,3
0,0,0,0,0,0,0,0,10,E,3
0,0,0,0,0,0,0,0,10,F,3
0,0,0,0,0,0,0,0,10,G,3
0,0,0,0,0,0,0,0,10,H,3
0,0,0,0,0,0,0,0,11,A,3
0,0,0,0,0,0,0,0,11,B,3
0,0,0,0,0,0,0,0,11,C,3
0,0,0,0,0,0,0,0,11,D,3
0,0,0,0,0,0,0,0,11,E,3
0,0,0,0,0,0,0,0,11,F,3
0,0,0,0,0,0,0,0,11,G,3
0,0,0,0,0,0,0,0,11,H,3
0,0,0,0,0,0,0,0,12,A,3
0,0,0,0,0,0,0,0,12,B,3
0,0,0,0,0,0,0,0,12,C,3
0,0,0,0,0,0,0,0,12,D,3
0,0,0,0,0,0,0,0,12,E,3
0,0,0,0,0,0,0,0,12,F,3
0,0,0,0,0,0,0,0,12,G,3
0,0,0,0,0,0,0,0,12,H,3
0,0,0,0,0,0,0,0,1,A,4
1,0,0,0,0,0,0,0,1,B,4
0,1,0,0,0,0,0,0,1,C,4
0,0,1,0,0,0,0,0,1,D,4
0,0,0,1,0,0,0,0,1,E,4
0,0,0,0,1,0,0,0,1,F,4
0,0,0,0,0,1,0,0,1,G,4
0,0,0,0,0,0,1,0,1,H,4
0,0,0,0,0,0,0,1,2,A,4
1,1,0,0,0,0,0,0,2,B,4
1,0,1,0,0,0,0,0,2,C,4
1,0,0,1,0,0,0,0,2,D,4
1,0,0,0,1,0,0,0,2,E,4
1,0,0,0,0,1,0,0,2,F,4
1,0,0,0,0,0,1,0,2,G,4
1,0,0,0,0,0,0,1,2,H,4
0,1,1,0,0,0,0,0,3,A,4
